,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Malik Beasley,1627736,2,5,5,1,4,0.5,0,0,2,"Malik Beasley, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",9,1,2,1,1,0.75,5,2018-19,DEN,15.0,0,3
1,Monte Morris,1628420,2,5,5,0,4,0.0,1,0,0,"Malik Beasley, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",9,1,2,1,1,0.75,5,2018-19,DEN,0.0,1,3
2,Torrey Craig,1628470,2,5,5,0,4,0.0,0,0,0,"Malik Beasley, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",9,1,2,1,1,0.75,5,2018-19,DEN,0.0,0,3
3,Mason Plumlee,203486,2,5,5,1,4,0.5,0,0,1,"Malik Beasley, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",9,1,2,1,1,0.75,5,2018-19,DEN,15.0,0,3
4,Nikola Jokic,203999,2,5,5,7,4,1.1666666666666667,1,1,2,"Malik Beasley, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",9,1,2,1,1,0.75,5,2018-19,DEN,105.0,2,3
5,Monte Morris,1628420,12,25,23,3,17,0.375,3,1,1,"Monte Morris, Paul Millsap, Will Barton, Gary Harris, Nikola Jokic",26,8,20,3,10,0.41935483870967744,3,2018-19,DEN,9.0,4,30
6,Paul Millsap,200794,12,25,23,4,17,0.4,3,1,2,"Monte Morris, Paul Millsap, Will Barton, Gary Harris, Nikola Jokic",26,8,20,3,10,0.41935483870967744,3,2018-19,DEN,12.0,4,30
7,Will Barton,203115,12,25,23,2,17,0.25,3,1,0,"Monte Morris, Paul Millsap, Will Barton, Gary Harris, Nikola Jokic",26,8,20,3,10,0.41935483870967744,3,2018-19,DEN,6.0,4,30
8,Gary Harris,203914,12,25,23,10,17,0.5555555555555556,5,4,0,"Monte Morris, Paul Millsap, Will Barton, Gary Harris, Nikola Jokic",26,8,20,3,10,0.41935483870967744,3,2018-19,DEN,30.0,9,30
9,Nikola Jokic,203999,12,25,23,7,17,0.3888888888888889,6,3,0,"Monte Morris, Paul Millsap, Will Barton, Gary Harris, Nikola Jokic",26,8,20,3,10,0.41935483870967744,3,2018-19,DEN,21.0,9,30
10,Trey Lyles,1626168,2,6,6,0,7,0.0,0,0,0,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Mason Plumlee",10,2,2,2,3,1.0,0,2018-19,DEN,0.0,0,5
11,Malik Beasley,1627736,2,6,6,3,7,1.5,0,1,0,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Mason Plumlee",10,2,2,2,3,1.0,0,2018-19,DEN,37.5,1,5
12,Juancho Hernangomez,1627823,2,6,6,3,7,0.75,0,2,0,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Mason Plumlee",10,2,2,2,3,1.0,0,2018-19,DEN,37.5,2,5
13,Monte Morris,1628420,2,6,6,4,7,1.0,2,0,0,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Mason Plumlee",10,2,2,2,3,1.0,0,2018-19,DEN,50.0,2,5
14,Mason Plumlee,203486,2,6,6,0,7,0.0,0,0,0,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Mason Plumlee",10,2,2,2,3,1.0,0,2018-19,DEN,0.0,0,5
15,Malik Beasley,1627736,39,73,72,15,93,0.625,6,6,2,"Malik Beasley, Monte Morris, Paul Millsap, Will Barton, Mason Plumlee",64,15,53,6,16,0.4050632911392405,24,2018-19,DEN,15.41095890410959,12,69
16,Monte Morris,1628420,39,73,72,7,93,0.3181818181818182,9,0,4,"Malik Beasley, Monte Morris, Paul Millsap, Will Barton, Mason Plumlee",64,15,53,6,16,0.4050632911392405,24,2018-19,DEN,7.191780821917808,9,69
17,Paul Millsap,200794,39,73,72,11,93,0.2391304347826087,16,3,8,"Malik Beasley, Monte Morris, Paul Millsap, Will Barton, Mason Plumlee",64,15,53,6,16,0.4050632911392405,24,2018-19,DEN,11.301369863013699,19,69
18,Will Barton,203115,39,73,72,22,93,0.4782608695652174,16,6,2,"Malik Beasley, Monte Morris, Paul Millsap, Will Barton, Mason Plumlee",64,15,53,6,16,0.4050632911392405,24,2018-19,DEN,22.602739726027398,22,69
19,Mason Plumlee,203486,39,73,72,9,93,0.45,6,1,8,"Malik Beasley, Monte Morris, Paul Millsap, Will Barton, Mason Plumlee",64,15,53,6,16,0.4050632911392405,24,2018-19,DEN,9.246575342465754,7,69
20,Malik Beasley,1627736,10,18,18,13,32,0.9285714285714286,2,5,0,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee",27,7,8,3,7,0.7941176470588235,4,2018-19,DEN,54.166666666666664,7,15
21,Jamal Murray,1627750,10,18,18,2,32,1.0,1,0,0,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee",27,7,8,3,7,0.7941176470588235,4,2018-19,DEN,8.333333333333334,1,15
22,Monte Morris,1628420,10,18,18,2,32,1.0,1,0,0,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee",27,7,8,3,7,0.7941176470588235,4,2018-19,DEN,8.333333333333334,1,15
23,Paul Millsap,200794,10,18,18,6,32,0.5,2,2,4,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee",27,7,8,3,7,0.7941176470588235,4,2018-19,DEN,25.0,4,15
24,Mason Plumlee,203486,10,18,18,4,32,1.0,2,0,0,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee",27,7,8,3,7,0.7941176470588235,4,2018-19,DEN,16.666666666666668,2,15
25,Jamal Murray,1627750,199,376,376,128,416,0.6037735849056604,61,37,18,"Jamal Murray, Torrey Craig, Paul Millsap, Gary Harris, Nikola Jokic",471,131,237,43,116,0.5962025316455696,95,2018-19,DEN,25.53191489361702,98,353
26,Torrey Craig,1628470,199,376,376,47,416,0.5465116279069767,21,18,10,"Jamal Murray, Torrey Craig, Paul Millsap, Gary Harris, Nikola Jokic",471,131,237,43,116,0.5962025316455696,95,2018-19,DEN,9.375,39,353
27,Paul Millsap,200794,199,376,376,88,416,0.5866666666666667,48,15,27,"Jamal Murray, Torrey Craig, Paul Millsap, Gary Harris, Nikola Jokic",471,131,237,43,116,0.5962025316455696,95,2018-19,DEN,17.5531914893617,63,353
28,Gary Harris,203914,199,376,376,77,416,0.5579710144927537,36,27,14,"Jamal Murray, Torrey Craig, Paul Millsap, Gary Harris, Nikola Jokic",471,131,237,43,116,0.5962025316455696,95,2018-19,DEN,15.35904255319149,63,353
29,Nikola Jokic,203999,199,376,376,131,416,0.6421568627450981,71,19,26,"Jamal Murray, Torrey Craig, Paul Millsap, Gary Harris, Nikola Jokic",471,131,237,43,116,0.5962025316455696,95,2018-19,DEN,26.13031914893617,90,353
30,Malik Beasley,1627736,2,5,5,1,2,0.5,0,0,2,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Nikola Jokic",6,2,6,0,0,0.375,4,2018-19,DEN,15.0,0,6
31,Jamal Murray,1627750,2,5,5,3,2,0.5,2,0,2,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Nikola Jokic",6,2,6,0,0,0.375,4,2018-19,DEN,45.0,2,6
32,Monte Morris,1628420,2,5,5,0,2,0.0,1,0,0,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Nikola Jokic",6,2,6,0,0,0.375,4,2018-19,DEN,0.0,1,6
33,Mason Plumlee,203486,2,5,5,0,2,0.0,2,0,0,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Nikola Jokic",6,2,6,0,0,0.375,4,2018-19,DEN,0.0,2,6
34,Nikola Jokic,203999,2,5,5,2,2,1.0,1,0,0,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Nikola Jokic",6,2,6,0,0,0.375,4,2018-19,DEN,30.0,1,6
35,Jamal Murray,1627750,3,4,9,5,15,1.25,0,1,2,"Jamal Murray, Torrey Craig, Paul Millsap, Will Barton, Gary Harris",9,0,0,2,4,0.9,3,2018-19,DEN,93.75,1,4
36,Torrey Craig,1628470,3,4,9,0,15,0.0,0,0,0,"Jamal Murray, Torrey Craig, Paul Millsap, Will Barton, Gary Harris",9,0,0,2,4,0.9,3,2018-19,DEN,0.0,0,4
37,Paul Millsap,200794,3,4,9,4,15,2.0,0,1,1,"Jamal Murray, Torrey Craig, Paul Millsap, Will Barton, Gary Harris",9,0,0,2,4,0.9,3,2018-19,DEN,75.0,1,4
38,Will Barton,203115,3,4,9,0,15,0.0,0,2,0,"Jamal Murray, Torrey Craig, Paul Millsap, Will Barton, Gary Harris",9,0,0,2,4,0.9,3,2018-19,DEN,0.0,2,4
39,Gary Harris,203914,3,4,9,0,15,0.0,0,0,0,"Jamal Murray, Torrey Craig, Paul Millsap, Will Barton, Gary Harris",9,0,0,2,4,0.9,3,2018-19,DEN,0.0,0,4
40,Malik Beasley,1627736,6,11,10,3,11,0.75,0,2,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Will Barton, Mason Plumlee",5,1,3,1,5,0.3125,0,2018-19,DEN,20.454545454545453,2,8
41,Juancho Hernangomez,1627823,6,11,10,0,11,0.0,1,0,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Will Barton, Mason Plumlee",5,1,3,1,5,0.3125,0,2018-19,DEN,0.0,1,8
42,Monte Morris,1628420,6,11,10,0,11,0.0,0,1,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Will Barton, Mason Plumlee",5,1,3,1,5,0.3125,0,2018-19,DEN,0.0,1,8
43,Will Barton,203115,6,11,10,2,11,0.3333333333333333,1,2,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Will Barton, Mason Plumlee",5,1,3,1,5,0.3125,0,2018-19,DEN,13.636363636363637,3,8
44,Mason Plumlee,203486,6,11,10,0,11,0.0,1,0,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Will Barton, Mason Plumlee",5,1,3,1,5,0.3125,0,2018-19,DEN,0.0,1,8
45,Malik Beasley,1627736,2,4,3,2,4,1.0,1,0,0,"Malik Beasley, Monte Morris, Will Barton, Mason Plumlee, Gary Harris",2,1,2,0,2,0.25,0,2018-19,DEN,37.5,1,4
46,Monte Morris,1628420,2,4,3,0,4,0.0,0,1,0,"Malik Beasley, Monte Morris, Will Barton, Mason Plumlee, Gary Harris",2,1,2,0,2,0.25,0,2018-19,DEN,0.0,1,4
47,Will Barton,203115,2,4,3,0,4,0.0,0,1,0,"Malik Beasley, Monte Morris, Will Barton, Mason Plumlee, Gary Harris",2,1,2,0,2,0.25,0,2018-19,DEN,0.0,1,4
48,Mason Plumlee,203486,2,4,3,0,4,0.0,1,0,0,"Malik Beasley, Monte Morris, Will Barton, Mason Plumlee, Gary Harris",2,1,2,0,2,0.25,0,2018-19,DEN,0.0,1,4
49,Gary Harris,203914,2,4,3,0,4,0.0,0,0,0,"Malik Beasley, Monte Morris, Will Barton, Mason Plumlee, Gary Harris",2,1,2,0,2,0.25,0,2018-19,DEN,0.0,0,4
50,Malik Beasley,1627736,14,26,27,3,36,0.3,1,3,2,"Malik Beasley, Jamal Murray, Mason Plumlee, Gary Harris, Nikola Jokic",35,11,15,2,8,0.6481481481481481,8,2018-19,DEN,8.653846153846153,4,23
51,Jamal Murray,1627750,14,26,27,4,36,0.5,2,1,2,"Malik Beasley, Jamal Murray, Mason Plumlee, Gary Harris, Nikola Jokic",35,11,15,2,8,0.6481481481481481,8,2018-19,DEN,11.538461538461538,3,23
52,Mason Plumlee,203486,14,26,27,2,36,1.0,0,0,2,"Malik Beasley, Jamal Murray, Mason Plumlee, Gary Harris, Nikola Jokic",35,11,15,2,8,0.6481481481481481,8,2018-19,DEN,5.769230769230769,0,23
53,Gary Harris,203914,14,26,27,7,36,0.5,4,3,0,"Malik Beasley, Jamal Murray, Mason Plumlee, Gary Harris, Nikola Jokic",35,11,15,2,8,0.6481481481481481,8,2018-19,DEN,20.192307692307693,7,23
54,Nikola Jokic,203999,14,26,27,19,36,0.95,8,1,2,"Malik Beasley, Jamal Murray, Mason Plumlee, Gary Harris, Nikola Jokic",35,11,15,2,8,0.6481481481481481,8,2018-19,DEN,54.80769230769231,9,23
55,Malik Beasley,1627736,11,20,23,2,28,0.3333333333333333,3,0,0,"Malik Beasley, Monte Morris, Torrey Craig, Will Barton, Nikola Jokic",28,6,14,4,8,0.5833333333333334,4,2018-19,DEN,7.5,3,22
56,Monte Morris,1628420,11,20,23,2,28,0.2,3,2,0,"Malik Beasley, Monte Morris, Torrey Craig, Will Barton, Nikola Jokic",28,6,14,4,8,0.5833333333333334,4,2018-19,DEN,7.5,5,22
57,Torrey Craig,1628470,11,20,23,2,28,0.5,2,0,0,"Malik Beasley, Monte Morris, Torrey Craig, Will Barton, Nikola Jokic",28,6,14,4,8,0.5833333333333334,4,2018-19,DEN,7.5,2,22
58,Will Barton,203115,11,20,23,8,28,1.0,0,3,2,"Malik Beasley, Monte Morris, Torrey Craig, Will Barton, Nikola Jokic",28,6,14,4,8,0.5833333333333334,4,2018-19,DEN,30.0,3,22
59,Nikola Jokic,203999,11,20,23,14,28,0.7,6,3,2,"Malik Beasley, Monte Morris, Torrey Craig, Will Barton, Nikola Jokic",28,6,14,4,8,0.5833333333333334,4,2018-19,DEN,52.5,9,22
60,Malik Beasley,1627736,6,11,13,0,16,0.0,2,2,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Mason Plumlee",12,2,9,2,4,0.42857142857142855,2,2018-19,DEN,0.0,4,13
61,Jamal Murray,1627750,6,11,13,0,16,0.0,1,0,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Mason Plumlee",12,2,9,2,4,0.42857142857142855,2,2018-19,DEN,0.0,1,13
62,Paul Millsap,200794,6,11,13,3,16,0.375,3,1,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Mason Plumlee",12,2,9,2,4,0.42857142857142855,2,2018-19,DEN,20.454545454545453,4,13
63,Will Barton,203115,6,11,13,5,16,0.8333333333333334,2,1,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Mason Plumlee",12,2,9,2,4,0.42857142857142855,2,2018-19,DEN,34.09090909090909,3,13
64,Mason Plumlee,203486,6,11,13,4,16,1.0,1,0,2,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Mason Plumlee",12,2,9,2,4,0.42857142857142855,2,2018-19,DEN,27.272727272727273,1,13
65,Jamal Murray,1627750,2,4,4,4,0,1.0,1,0,2,"Jamal Murray, Torrey Craig, Will Barton, Mason Plumlee, Nikola Jokic",4,1,3,0,0,0.5,2,2018-19,DEN,75.0,1,3
66,Torrey Craig,1628470,2,4,4,0,0,0.0,0,0,0,"Jamal Murray, Torrey Craig, Will Barton, Mason Plumlee, Nikola Jokic",4,1,3,0,0,0.5,2,2018-19,DEN,0.0,0,3
67,Will Barton,203115,2,4,4,0,0,0.0,0,0,0,"Jamal Murray, Torrey Craig, Will Barton, Mason Plumlee, Nikola Jokic",4,1,3,0,0,0.5,2,2018-19,DEN,0.0,0,3
68,Mason Plumlee,203486,2,4,4,0,0,0.0,2,0,0,"Jamal Murray, Torrey Craig, Will Barton, Mason Plumlee, Nikola Jokic",4,1,3,0,0,0.5,2,2018-19,DEN,0.0,2,3
69,Nikola Jokic,203999,2,4,4,0,0,0.0,0,0,0,"Jamal Murray, Torrey Craig, Will Barton, Mason Plumlee, Nikola Jokic",4,1,3,0,0,0.5,2,2018-19,DEN,0.0,0,3
70,Jamal Murray,1627750,16,31,28,0,32,0.0,5,1,0,"Jamal Murray, Torrey Craig, Will Barton, Gary Harris, Nikola Jokic",30,9,24,3,10,0.42857142857142855,3,2018-19,DEN,0.0,6,34
71,Torrey Craig,1628470,16,31,28,10,32,1.0,1,3,2,"Jamal Murray, Torrey Craig, Will Barton, Gary Harris, Nikola Jokic",30,9,24,3,10,0.42857142857142855,3,2018-19,DEN,24.193548387096776,4,34
72,Will Barton,203115,16,31,28,5,32,0.2777777777777778,5,4,0,"Jamal Murray, Torrey Craig, Will Barton, Gary Harris, Nikola Jokic",30,9,24,3,10,0.42857142857142855,3,2018-19,DEN,12.096774193548388,9,34
73,Gary Harris,203914,16,31,28,4,32,0.5,4,0,0,"Jamal Murray, Torrey Craig, Will Barton, Gary Harris, Nikola Jokic",30,9,24,3,10,0.42857142857142855,3,2018-19,DEN,9.67741935483871,4,34
74,Nikola Jokic,203999,16,31,28,11,32,0.5,9,2,1,"Jamal Murray, Torrey Craig, Will Barton, Gary Harris, Nikola Jokic",30,9,24,3,10,0.42857142857142855,3,2018-19,DEN,26.612903225806452,11,34
75,Malik Beasley,1627736,2,4,3,0,3,0.0,0,0,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Nikola Jokic",6,1,2,1,2,0.6,2,2018-19,DEN,0.0,0,4
76,Jamal Murray,1627750,2,4,3,2,3,0.3333333333333333,2,1,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Nikola Jokic",6,1,2,1,2,0.6,2,2018-19,DEN,37.5,3,4
77,Paul Millsap,200794,2,4,3,0,3,0.0,0,0,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Nikola Jokic",6,1,2,1,2,0.6,2,2018-19,DEN,0.0,0,4
78,Will Barton,203115,2,4,3,0,3,0.0,0,0,0,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Nikola Jokic",6,1,2,1,2,0.6,2,2018-19,DEN,0.0,0,4
79,Nikola Jokic,203999,2,4,3,4,3,1.0,0,1,2,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Nikola Jokic",6,1,2,1,2,0.6,2,2018-19,DEN,75.0,1,4
80,Malik Beasley,1627736,4,8,7,0,11,0.0,1,1,0,"Malik Beasley, Jamal Murray, Will Barton, Mason Plumlee, Nikola Jokic",12,4,7,0,3,0.5,4,2018-19,DEN,0.0,2,10
81,Jamal Murray,1627750,4,8,7,2,11,0.5,1,1,0,"Malik Beasley, Jamal Murray, Will Barton, Mason Plumlee, Nikola Jokic",12,4,7,0,3,0.5,4,2018-19,DEN,18.75,2,10
82,Will Barton,203115,4,8,7,0,11,0.0,0,1,0,"Malik Beasley, Jamal Murray, Will Barton, Mason Plumlee, Nikola Jokic",12,4,7,0,3,0.5,4,2018-19,DEN,0.0,1,10
83,Mason Plumlee,203486,4,8,7,4,11,1.0,2,0,0,"Malik Beasley, Jamal Murray, Will Barton, Mason Plumlee, Nikola Jokic",12,4,7,0,3,0.5,4,2018-19,DEN,37.5,2,10
84,Nikola Jokic,203999,4,8,7,6,11,0.6,3,0,4,"Malik Beasley, Jamal Murray, Will Barton, Mason Plumlee, Nikola Jokic",12,4,7,0,3,0.5,4,2018-19,DEN,56.25,3,10
85,Monte Morris,1628420,4,7,9,0,12,0.0,0,1,0,"Monte Morris, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",7,2,3,1,4,0.5,0,2018-19,DEN,0.0,1,7
86,Torrey Craig,1628470,4,7,9,0,12,0.0,0,0,0,"Monte Morris, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",7,2,3,1,4,0.5,0,2018-19,DEN,0.0,0,7
87,Mason Plumlee,203486,4,7,9,0,12,0.0,0,0,0,"Monte Morris, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",7,2,3,1,4,0.5,0,2018-19,DEN,0.0,0,7
88,Gary Harris,203914,4,7,9,5,12,0.8333333333333334,2,1,0,"Monte Morris, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",7,2,3,1,4,0.5,0,2018-19,DEN,53.57142857142857,3,7
89,Nikola Jokic,203999,4,7,9,2,12,0.3333333333333333,1,2,0,"Monte Morris, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",7,2,3,1,4,0.5,0,2018-19,DEN,21.428571428571427,3,7
90,Malik Beasley,1627736,5,9,9,2,8,0.5,0,1,2,"Malik Beasley, Monte Morris, Will Barton, Gary Harris, Nikola Jokic",8,3,7,0,2,0.4,2,2018-19,DEN,16.666666666666668,1,9
91,Monte Morris,1628420,5,9,9,0,8,0.0,1,0,0,"Malik Beasley, Monte Morris, Will Barton, Gary Harris, Nikola Jokic",8,3,7,0,2,0.4,2,2018-19,DEN,0.0,1,9
92,Will Barton,203115,5,9,9,2,8,0.5,1,1,0,"Malik Beasley, Monte Morris, Will Barton, Gary Harris, Nikola Jokic",8,3,7,0,2,0.4,2,2018-19,DEN,16.666666666666668,2,9
93,Gary Harris,203914,5,9,9,0,8,0.0,1,0,0,"Malik Beasley, Monte Morris, Will Barton, Gary Harris, Nikola Jokic",8,3,7,0,2,0.4,2,2018-19,DEN,0.0,1,9
94,Nikola Jokic,203999,5,9,9,4,8,0.5,4,0,0,"Malik Beasley, Monte Morris, Will Barton, Gary Harris, Nikola Jokic",8,3,7,0,2,0.4,2,2018-19,DEN,33.333333333333336,4,9
95,Malik Beasley,1627736,2,3,3,0,2,0.0,1,0,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee",5,1,2,1,1,0.8333333333333334,0,2018-19,DEN,0.0,1,3
96,Juancho Hernangomez,1627823,2,3,3,0,2,0.0,0,0,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee",5,1,2,1,1,0.8333333333333334,0,2018-19,DEN,0.0,0,3
97,Monte Morris,1628420,2,3,3,0,2,0.0,0,0,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee",5,1,2,1,1,0.8333333333333334,0,2018-19,DEN,0.0,0,3
98,Torrey Craig,1628470,2,3,3,3,2,1.5,0,1,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee",5,1,2,1,1,0.8333333333333334,0,2018-19,DEN,75.0,1,3
99,Mason Plumlee,203486,2,3,3,2,2,1.0,1,0,0,"Malik Beasley, Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee",5,1,2,1,1,0.8333333333333334,0,2018-19,DEN,50.0,1,3
100,Jamal Murray,1627750,2,5,5,0,8,0.0,0,0,0,"Jamal Murray, Monte Morris, Paul Millsap, Will Barton, Nikola Jokic",6,2,2,0,2,0.6,2,2018-19,DEN,0.0,0,4
101,Monte Morris,1628420,2,5,5,2,8,1.0,1,0,0,"Jamal Murray, Monte Morris, Paul Millsap, Will Barton, Nikola Jokic",6,2,2,0,2,0.6,2,2018-19,DEN,30.0,1,4
102,Paul Millsap,200794,2,5,5,2,8,1.0,1,0,0,"Jamal Murray, Monte Morris, Paul Millsap, Will Barton, Nikola Jokic",6,2,2,0,2,0.6,2,2018-19,DEN,30.0,1,4
103,Will Barton,203115,2,5,5,0,8,0.0,0,2,0,"Jamal Murray, Monte Morris, Paul Millsap, Will Barton, Nikola Jokic",6,2,2,0,2,0.6,2,2018-19,DEN,0.0,2,4
104,Nikola Jokic,203999,2,5,5,2,8,1.0,0,0,2,"Jamal Murray, Monte Morris, Paul Millsap, Will Barton, Nikola Jokic",6,2,2,0,2,0.6,2,2018-19,DEN,30.0,0,4
105,Malik Beasley,1627736,17,32,32,5,35,0.8333333333333334,1,1,2,"Malik Beasley, Jamal Murray, Torrey Craig, Gary Harris, Nikola Jokic",38,9,20,4,11,0.5285714285714286,9,2018-19,DEN,11.71875,2,31
106,Jamal Murray,1627750,17,32,32,16,35,0.5,7,6,5,"Malik Beasley, Jamal Murray, Torrey Craig, Gary Harris, Nikola Jokic",38,9,20,4,11,0.5285714285714286,9,2018-19,DEN,37.5,13,31
107,Torrey Craig,1628470,17,32,32,3,35,0.375,1,3,0,"Malik Beasley, Jamal Murray, Torrey Craig, Gary Harris, Nikola Jokic",38,9,20,4,11,0.5285714285714286,9,2018-19,DEN,7.03125,4,31
108,Gary Harris,203914,17,32,32,2,35,0.25,2,1,2,"Malik Beasley, Jamal Murray, Torrey Craig, Gary Harris, Nikola Jokic",38,9,20,4,11,0.5285714285714286,9,2018-19,DEN,4.6875,3,31
109,Nikola Jokic,203999,17,32,32,12,35,0.6666666666666666,9,0,0,"Malik Beasley, Jamal Murray, Torrey Craig, Gary Harris, Nikola Jokic",38,9,20,4,11,0.5285714285714286,9,2018-19,DEN,28.125,9,31
110,Monte Morris,1628420,11,19,21,4,32,0.4,2,2,3,"Monte Morris, Will Barton, Mason Plumlee, Gary Harris, Nikola Jokic",19,5,12,1,6,0.4523809523809524,7,2018-19,DEN,15.789473684210526,4,18
111,Will Barton,203115,11,19,21,5,32,0.35714285714285715,5,2,0,"Monte Morris, Will Barton, Mason Plumlee, Gary Harris, Nikola Jokic",19,5,12,1,6,0.4523809523809524,7,2018-19,DEN,19.736842105263158,7,18
112,Mason Plumlee,203486,11,19,21,0,32,0.0,0,0,0,"Monte Morris, Will Barton, Mason Plumlee, Gary Harris, Nikola Jokic",19,5,12,1,6,0.4523809523809524,7,2018-19,DEN,0.0,0,18
113,Gary Harris,203914,11,19,21,2,32,0.3333333333333333,1,1,2,"Monte Morris, Will Barton, Mason Plumlee, Gary Harris, Nikola Jokic",19,5,12,1,6,0.4523809523809524,7,2018-19,DEN,7.894736842105263,2,18
114,Nikola Jokic,203999,11,19,21,8,32,0.6666666666666666,4,1,2,"Monte Morris, Will Barton, Mason Plumlee, Gary Harris, Nikola Jokic",19,5,12,1,6,0.4523809523809524,7,2018-19,DEN,31.57894736842105,5,18
115,Jamal Murray,1627750,6,11,9,2,9,0.16666666666666666,5,1,0,"Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",5,2,9,0,2,0.20833333333333334,2,2018-19,DEN,13.636363636363637,6,11
116,Torrey Craig,1628470,6,11,9,0,9,0.0,0,1,0,"Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",5,2,9,0,2,0.20833333333333334,2,2018-19,DEN,0.0,1,11
117,Mason Plumlee,203486,6,11,9,1,9,0.5,0,0,2,"Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",5,2,9,0,2,0.20833333333333334,2,2018-19,DEN,6.818181818181818,0,11
118,Gary Harris,203914,6,11,9,0,9,0.0,0,0,0,"Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",5,2,9,0,2,0.20833333333333334,2,2018-19,DEN,0.0,0,11
119,Nikola Jokic,203999,6,11,9,2,9,0.25,4,0,0,"Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris, Nikola Jokic",5,2,9,0,2,0.20833333333333334,2,2018-19,DEN,13.636363636363637,4,11
120,Malik Beasley,1627736,2,4,5,0,9,0.0,1,0,0,"Malik Beasley, Jamal Murray, Will Barton, Gary Harris, Nikola Jokic",6,2,4,0,0,0.6,2,2018-19,DEN,0.0,1,4
121,Jamal Murray,1627750,2,4,5,2,9,1.0,1,0,0,"Malik Beasley, Jamal Murray, Will Barton, Gary Harris, Nikola Jokic",6,2,4,0,0,0.6,2,2018-19,DEN,37.5,1,4
122,Will Barton,203115,2,4,5,0,9,0.0,1,0,0,"Malik Beasley, Jamal Murray, Will Barton, Gary Harris, Nikola Jokic",6,2,4,0,0,0.6,2,2018-19,DEN,0.0,1,4
123,Gary Harris,203914,2,4,5,2,9,1.0,0,0,2,"Malik Beasley, Jamal Murray, Will Barton, Gary Harris, Nikola Jokic",6,2,4,0,0,0.6,2,2018-19,DEN,37.5,0,4
